ts_code,name,invest_type,category
020355.OF,农银瑞益一年持有C,混合型,混合型-偏股
019783.OF,华安健康主题A,混合型,混合型-偏股
019784.OF,华安健康主题C,混合型,混合型-偏股
018636.OF,嘉实稳健增利6个月持有C,混合型,混合型-偏股
019741.OF,财通资管创新医药C,混合型,混合型-偏股
019144.OF,东财景气驱动C,混合型,混合型-偏股
020326.OF,南方安裕E,混合型,混合型-偏股
018605.OF,中银养老目标日期2035三年持有,混合型,混合型-偏股
019740.OF,财通资管创新医药A,混合型,混合型-偏股
016945.OF,中泰ESG主题6个月持有,混合型,混合型-偏股
020118.OF,南华丰元量化选股C,混合型,混合型-偏股
019335.OF,大成红利汇聚C,混合型,混合型-偏股
019334.OF,大成红利汇聚A,混合型,混合型-偏股
020117.OF,南华丰元量化选股A,混合型,混合型-偏股
019143.OF,东财景气驱动A,混合型,混合型-偏股
018635.OF,嘉实稳健增利6个月持有A,混合型,混合型-偏股
020624.OF,信澳新能源精选C,混合型,混合型-偏股
020560.OF,万家高端装备量化选股A,混合型,混合型-偏股
020561.OF,万家高端装备量化选股C,混合型,混合型-偏股
020163.OF,华安睿信优选C,混合型,混合型-偏股
020605.OF,长城稳健增利E,稳健增长型,主动股票型
020162.OF,华安睿信优选A,混合型,混合型-偏股
020592.OF,金信多策略精选C,灵活配置型,混合型-平衡
020562.OF,东方红领先精选C,灵活配置型,混合型-平衡
018550.OF,金鹰研究驱动C,混合型,混合型-偏股
019661.OF,易方达汇悦平衡养老目标三年持有A,混合型,混合型-偏股
020441.OF,东兴数字经济C,混合型,混合型-偏股
020440.OF,东兴数字经济A,混合型,混合型-偏股
018731.OF,华夏招鑫鸿瑞C,混合型,混合型-偏股
018730.OF,华夏招鑫鸿瑞A,混合型,混合型-偏股
018549.OF,金鹰研究驱动A,混合型,混合型-偏股
019519.OF,中邮乐享收益C,灵活配置型,混合型-平衡
018815.OF,方正富邦核心优势A,混合型,混合型-偏股
018816.OF,方正富邦核心优势C,混合型,混合型-偏股
020362.OF,中海沪港深价值优选C,灵活配置型,混合型-平衡
